New_Game_Started!,
GameName,MacAddress,NewGameTime(Sec:Min:Hr:Day:Mo:Yr),SessionEndTime,Progress,Rating,TotalPlayTime(Sec:Min:Hr:Days)
AC- Barr's  Card Game,00-10-18-00-00-00,39:6:22:15:1:2016,46:6:22:15:1:2016,0 out of 15,Not yet rated.,7:0:0:0
AC- Barr's  Card Game,00-10-18-00-00-00,24:33:23:15:1:2016,27:33:23:15:1:2016,0 out of 15,Not yet rated.,2:0:0:0
New_Game_Started!,
GameName,MacAddress,NewGameTime(Sec:Min:Hr:Day:Mo:Yr),SessionEndTime,Progress,Rating,TotalPlayTime(Sec:Min:Hr:Days)
AC- Barr's  Card Game,00-10-18-00-00-00,24:33:23:15:1:2016,30:34:23:15:1:2016,1 out of 15,2 stars out of 5.,3:1:0:0
AC- Barr's  Card Game,00-10-18-00-00-00,56:36:23:15:1:2016,4:37:23:15:1:2016,0 out of 15,Not yet rated.,8:0:0:0
AC- Barr's  Card Game,00-10-18-00-00-00,30:6:2:16:1:2016,41:6:2:16:1:2016,11 out of 15,Not yet rated.,18:0:0:0
New_Game_Started!,
GameName,MacAddress,NewGameTime(Sec:Min:Hr:Day:Mo:Yr),SessionEndTime,Progress,Rating,TotalPlayTime(Sec:Min:Hr:Days)
AC- Barr's  Card Game,00-10-18-00-00-00,54:6:2:16:1:2016,57:6:2:16:1:2016,0 out of 15,Not yet rated.,2:0:0:0
